schedule_code  schedule_for_route_code     route_code                                              route_name                        route_destination  route_variant  first_stop_code  last_stop_code start_time stop_time run_code duty_code  is_halfway    shift_type
        401/V                  5248728          401-D                    Chandkheda (Sarthi Bunglows) - Vasna                                    Vasna         NORMAL             2195            1598    8:35:00   9:50:00    401/V   401/V-G           0 General Shift
        401/W                  5248729          401-D                    Chandkheda (Sarthi Bunglows) - Vasna                                    Vasna         NORMAL             2195            1598    8:55:00  10:15:00    401/W   401/W-G           0 General Shift
        401/X                  5248730          401-D                    Chandkheda (Sarthi Bunglows) - Vasna                                    Vasna         NORMAL             2195            1598    9:20:00  10:35:00    401/X   401/X-G           0 General Shift
         33/G                  5248731           33-U                      Vasna - S.P.Ring Road (Odhav Gidc)               S.P.Ring Road (Odhav Gidc)         NORMAL             1286            4133   13:45:00  15:30:00     33/G    33/G-F           0   First Shift
         33/F                  5248732           33-D                      S.P.Ring Road (Odhav Gidc) - Vasna                                    Vasna         NORMAL             4909            1598   19:30:00  21:15:00     33/F    33/F-S           0 Second Shift 
        401/S                  5248733          401-U                    Vasna - Chandkheda (Sarthi Bunglows)             Chandkheda (Sarthi Bunglows)         NORMAL             1286            2194    9:15:00  10:25:00    401/S   401/S-G           0 General Shift
        401/T                  5248734          401-U                    Vasna - Chandkheda (Sarthi Bunglows)             Chandkheda (Sarthi Bunglows)         NORMAL             1286            2194    9:30:00  10:40:00    401/T   401/T-G           0 General Shift
         33/F                  5248735           33-U                      Vasna - S.P.Ring Road (Odhav Gidc)               S.P.Ring Road (Odhav Gidc)         NORMAL             1286            4133   17:10:00  18:55:00     33/F    33/F-S           0 Second Shift 
         33/J                  5248736        33-LS-U                  Sarangpur - S.P.Ring Road (Odhav Gidc)               S.P.Ring Road (Odhav Gidc)         NORMAL             1204            4133    6:25:00   7:10:00     33/J    33/J-F           0   First Shift
        401/U                  5248737          401-U                    Vasna - Chandkheda (Sarthi Bunglows)             Chandkheda (Sarthi Bunglows)         NORMAL             1286            2194    9:40:00  10:50:00    401/U   401/U-G           0 General Shift
        401/V                  5248738          401-U                    Vasna - Chandkheda (Sarthi Bunglows)             Chandkheda (Sarthi Bunglows)         NORMAL             1286            2194    9:55:00  11:05:00    401/V   401/V-G           0 General Shift
        401/W                  5248739          401-U                    Vasna - Chandkheda (Sarthi Bunglows)             Chandkheda (Sarthi Bunglows)         NORMAL             1286            2194   10:15:00  11:25:00    401/W   401/W-G           0 General Shift
         33/M                  5248740        33-VM-U                                Vasna -Sarangpur Darwaja                                Sarangpur         NORMAL             1286            1204   14:00:00  14:50:00     33/M    33/M-F           0   First Shift
         33/A                  5248741           33-U                      Vasna - S.P.Ring Road (Odhav Gidc)               S.P.Ring Road (Odhav Gidc)         NORMAL             1286            4133   18:40:00  20:20:00     33/A    33/A-S           0 Second Shift 
         33/B                  5248742           33-U                      Vasna - S.P.Ring Road (Odhav Gidc)               S.P.Ring Road (Odhav Gidc)         NORMAL             1286            4133   19:05:00  20:55:00     33/B    33/B-S           0 Second Shift 
        401/X                  5248743          401-U                    Vasna - Chandkheda (Sarthi Bunglows)             Chandkheda (Sarthi Bunglows)         NORMAL             1286            2194   10:35:00  11:50:00    401/X   401/X-G           0 General Shift
         33/K                  5248744        33-LS-U                  Sarangpur - S.P.Ring Road (Odhav Gidc)               S.P.Ring Road (Odhav Gidc)         NORMAL             1204            4133    6:40:00   7:30:00     33/K    33/K-F           0   First Shift
         33/E                  5248745        33-SL-D          S.P.Ring Road (Odhav Gidc) - Sarangpur Darwaja                                Sarangpur         NORMAL             4909            1844   22:25:00  23:00:00     33/E    33/E-S           0 Second Shift 
        401/S                  5248746          401-U                    Vasna - Chandkheda (Sarthi Bunglows)             Chandkheda (Sarthi Bunglows)         NORMAL             1286            2194   11:25:00  12:55:00    401/S   401/S-G           0 General Shift
        401/S                  5248747          401-D                    Chandkheda (Sarthi Bunglows) - Vasna                                    Vasna         NORMAL             2195            1598   10:25:00  11:25:00    401/S   401/S-G           0 General Shift
         33/A                  5248748           33-D                      S.P.Ring Road (Odhav Gidc) - Vasna                                    Vasna         NORMAL             4909            1598    8:50:00  10:30:00     33/A    33/A-F           0   First Shift
        401/T                  5248749          401-D                    Chandkheda (Sarthi Bunglows) - Vasna                                    Vasna         NORMAL             2195            1598   10:40:00  11:40:00    401/T   401/T-G           0 General Shift
         33/E                  5248750           33-D                      S.P.Ring Road (Odhav Gidc) - Vasna                                    Vasna         NORMAL             4909            1598   18:45:00  20:30:00     33/E    33/E-S           0 Second Shift 
         33/E                  5248751           33-D                      S.P.Ring Road (Odhav Gidc) - Vasna                                    Vasna         NORMAL             4909            1598   10:40:00  12:30:00     33/E    33/E-F           0   First Shift
        401/U                  5248752          401-D                    Chandkheda (Sarthi Bunglows) - Vasna                                    Vasna         NORMAL             2195            1598   10:50:00  12:05:00    401/U   401/U-G           0 General Shift
         33/L                  5248753           33-D                      S.P.Ring Road (Odhav Gidc) - Vasna                                    Vasna         NORMAL             4909            1598   12:15:00  13:55:00     33/L    33/L-F           0   First Shift
        401/V                  5248754          401-D                    Chandkheda (Sarthi Bunglows) - Vasna                                    Vasna         NORMAL             2195            1598   11:05:00  12:25:00    401/V   401/V-G           0 General Shift
        401/W                  5248755          401-D                    Chandkheda (Sarthi Bunglows) - Vasna                                    Vasna         NORMAL             2195            1598   11:25:00  12:45:00    401/W   401/W-G           0 General Shift
        401/X                  5248756          401-D                    Chandkheda (Sarthi Bunglows) - Vasna                                    Vasna         NORMAL             2195            1598   11:50:00  13:05:00    401/X   401/X-G           0 General Shift
