 Company_Code Route_Code  Start_Stage  Moved_Stage  Fare_Amount  Card_Type_Code
          103       FFFF           16            6         1300               0
          103       FFFF           17            5         1300               0
          103       FFFF           18            4         1200               0
          103       FFFF           19            3         1100               0
          103       FFFF           20            2          900               0
          103       FFFF           21            1          700               0
          103       FFFF           22            0          300               0
          103     31/4-U            1            5         1300               0
          103     31/4-U            2            4         1200               0
          103     31/4-U            3            3         1100               0
          103     31/4-U            4            2          900               0
          103     31/4-U            5            1          700               0
          103     31/4-U            6            0          300               0
          103     31/4-U            2            6         1300               0
          103     31/4-U            4            4         1200               0
          103     31/4-U            5            3         1100               0
          103     31/4-U            6            2          900               0
          103     31/4-U            7            1          700               0
          103     31/4-U            8            0          300               0
          103     31/4-U            1            8         1500               0
          103     31/4-U            2            7         1500               0
          103     31/4-U            3            6         1300               0
          103     31/4-U            4            5         1300               0
          103     31/4-U            5            4         1200               0
          103     31/4-U            6            3         1100               0
          103     31/4-U            7            2          900               0
          103     31/4-U            8            1          700               0
          103     31/4-U            9            0          300               0
          103     31/4-U            1            9         1700               0
          103     31/4-U            2            8         1500               0
          103     31/4-U            3            7         1500               0
          103     31/4-U            4            6         1300               0
          103     31/4-U            5            5         1300               0
          103     31/4-U            6            4         1200               0
          103     31/4-U            7            3         1100               0
          103     31/4-U            8            2          900               0
          103     31/4-U            9            1          700               0
          103     31/4-U           10            0          300               0
          103     31/4-U            1           10         1700               0
          103     31/4-U            2            9         1700               0
          103     31/4-U            3            8         1500               0
          103     31/4-U            4            7         1500               0
          103     31/4-U            5            6         1300               0
          103     31/4-U            6            5         1200               0
          103     31/4-U            7            4         1200               0
          103     31/4-U            8            3         1100               0
          103     31/4-U            9            2          900               0
          103     31/4-U           10            1          700               0
          103     31/4-U           11            0          300               0
          103     31/4-D            1            5         1200               0
          103     31/4-D            2            4         1200               0
          103     31/4-D            3            3         1100               0
          103     31/4-D            4            2          900               0
          103     31/4-D            5            1          700               0
          103     31/4-D            6            0          300               0
          103     31/4-D            2            6         1300               0
          103     31/4-D            4            4         1200               0
          103     31/4-D            5            3         1100               0
          103     31/4-D            6            2          900               0
          103     31/4-D            7            1          700               0
          103     31/4-D            8            0          300               0
          103     31/4-D            1            8         1500               0
          103     31/4-D            2            7         1500               0
          103     31/4-D            3            6         1300               0
          103     31/4-D            4            5         1300               0
          103     31/4-D            5            4         1200               0
          103     31/4-D            6            3         1100               0
          103     31/4-D            7            2          900               0
          103     31/4-D            8            1          700               0
          103     31/4-D            9            0          300               0
          103     31/4-D            1            9         1700               0
          103     31/4-D            2            8         1500               0
          103     31/4-D            3            7         1500               0
          103     31/4-D            4            6         1300               0
          103     31/4-D            5            5         1300               0
          103     31/4-D            6            4         1200               0
          103     31/4-D            7            3         1100               0
          103     31/4-D            8            2          900               0
          103     31/4-D            9            1          700               0
          103     31/4-D           10            0          300               0
          103     31/4-D            1           10         1700               0
          103     31/4-D            2            9         1700               0
          103     31/4-D            3            8         1500               0
          103     31/4-D            4            7         1500               0
          103     31/4-D            5            6         1300               0
          103     31/4-D            6            5         1300               0
          103     31/4-D            7            4         1200               0
          103     31/4-D            8            3         1100               0
          103     31/4-D            9            2          900               0
          103     31/4-D           10            1          700               0
          103     31/4-D           11            0          300               0
          103       32-U            1            5         1300               0
          103       32-U            2            4         1200               0
          103       32-U            3            3         1100               0
          103       32-U            4            2          900               0
          103       32-U            5            1          700               0
          103       32-U            6            0          300               0
          103       32-U            2            6         1300               0
          103       32-U            4            4         1200               0
          103       32-U            5            3         1100               0
          103       32-U            6            2          700               0
          103       32-U            7            1          700               0
          103       32-U            8            0          300               0
          103       32-U            1            8         1500               0
          103       32-U            2            7         1500               0
          103       32-U            3            6         1300               0
          103       32-U            4            5         1300               0
          103       32-U            5            4         1200               0
          103       32-U            6            3          900               0
          103       32-U            7            2          700               0
          103       32-U            8            1          700               0
          103       32-U            9            0          300               0
          103       32-D            1            2          700               0
          103       32-D            1            3          900               0
          103       32-D            2            2          700               0
          103       32-D            1            5         1300               0
          103       32-D            2            4         1200               0
          103       32-D            3            3         1100               0
          103       32-D            4            2          900               0
          103       32-D            5            1          700               0
          103       32-D            6            0          300               0
          103       32-D            2            6         1300               0
          103       32-D            4            4         1200               0
          103       32-D            5            3         1100               0
          103       32-D            6            2          900               0
          103       32-D            7            1          700               0
          103       32-D            8            0          300               0
          103       32-D            1            8         1500               0
          103       32-D            2            7         1500               0
          103       32-D            3            6         1300               0
          103       32-D            4            5         1300               0
          103       32-D            5            4         1200               0
          103       32-D            6            3         1100               0
          103       32-D            7            2          900               0
          103       32-D            8            1          700               0
          103       32-D            9            0          300               0
          103     36/1-U            1            2          700               0
          103     36/1-U            1            4         1100               0
          103     36/1-U            1            5         1200               0
          103     36/1-U            1            7         1300               0
          103     36/1-D            1            7         1300               0
          103     36/1-D            3            5         1200               0
          103     36/1-D            4            4         1100               0
          103     36/1-D            6            2          700               0
          103       38-U            1            9         1500               0
          103       38-U            1           10         1700               0
          103       38-U            2            9         1700               0
          103       38-U            3            8         1500               0
          103       38-U            4            7         1500               0
          103       38-U            5            6         1300               0
          103       38-U            6            5         1300               0
          103       38-U            7            4         1200               0
          103       38-U            8            3         1100               0
          103       38-U            9            2          900               0
          103       38-U           10            1          700               0
          103       38-U           11            0          300               0
          103       38-D            1           10         1700               0
          103       38-D            2            9         1500               0
          103       38-D            3            8         1500               0
          103       38-D            4            7         1500               0
          103       38-D            5            6         1300               0
          103       38-D            6            5         1300               0
          103       38-D            7            4         1200               0
          103       38-D            8            3         1100               0
          103       38-D            9            2          900               0
          103       38-D           10            1          700               0
          103       38-D           11            0          300               0
          103     40/1-U            1            3          900               0
          103     40/1-U            2            2          700               0
          103     40/1-U            1            4         1100               0
          103     40/1-U            2            3          900               0
          103     40/1-U            1            5         1200               0
          103     40/1-U            2            4         1100               0
          103     40/1-U            2            5         1200               0
          103     40/1-U            1            7         1300               0
          103     40/1-U            1            9         1500               0
          103     40/1-U            1           10         1700               0
          103     40/1-U            2            9         1500               0
          103     40/1-U            3            8         1500               0
          103     40/1-U            4            7         1500               0
          103     40/1-U            5            6         1300               0
          103     40/1-U            6            5         1300               0
          103     40/1-U            7            4         1200               0
          103     40/1-U            8            3         1100               0
          103     40/1-U            9            2          900               0
          103     40/1-U           10            1          700               0
          103     40/1-U           11            0          300               0
          103     40/1-U            1           11         1700               0
          103     40/1-U            2           10         1700               0
          103     40/1-U            3            9         1700               0
          103     40/1-U            4            8         1500               0
          103     40/1-U            5            7         1500               0
          103     40/1-U            6            6         1300               0
          103     40/1-U            7            5         1300               0
          103     40/1-U            8            4         1200               0
          103     40/1-U            9            3         1100               0
          103     40/1-U           10            2          900               0
          103     40/1-U           11            1          700               0
          103     40/1-U           12            0          300               0
          103     40/1-U            1           12         1800               0
          103     40/1-U            2           11         1700               0
          103     40/1-U            3           10         1700               0
          103     40/1-U            4            9         1700               0
          103     40/1-U            5            8         1500               0
          103     40/1-U            6            7         1500               0
          103     40/1-U            7            6         1300               0
          103     40/1-U            8            5         1300               0
          103     40/1-U            9            4         1200               0
