 Company_Code Route_Code  Start_Stage  Moved_Stage  Fare_Amount  Card_Type_Code
          103       75-D            3            2          900               0
          103       75-D            4            1          700               0
          103       75-D            5            0          300               0
          103       75-D            1            5         1300               0
          103       75-D            2            4         1200               0
          103       75-D            3            3         1100               0
          103       75-D            4            2          900               0
          103       75-D            5            1          700               0
          103       75-D            6            0          300               0
          103       75-D            1            6         1300               0
          103       75-D            2            5         1300               0
          103       75-D            3            4         1200               0
          103       75-D            4            3         1100               0
          103       75-D            5            2          900               0
          103       75-D            6            1          700               0
          103       75-D            7            0          300               0
          103       75-D            1            7         1300               0
          103       75-D            2            6         1300               0
          103       75-D            3            5         1300               0
          103       75-D            4            4         1200               0
          103       75-D            5            3         1100               0
          103       75-D            6            2          900               0
          103       75-D            7            1          700               0
          103       75-D            8            0          300               0
          103       75-D            1            8         1500               0
          103       75-D            2            7         1300               0
          103       75-D            3            6         1300               0
          103       75-D            4            5         1300               0
          103       75-D            5            4         1200               0
          103       75-D            6            3         1100               0
          103       75-D            7            2          900               0
          103       75-D            8            1          700               0
          103       75-D            9            0          300               0
          103       75-D            1            9         1500               0
          103       75-D            2            8         1500               0
          103       75-D            3            7         1500               0
          103       75-D            4            6         1300               0
          103       75-D            5            5         1300               0
          103       75-D            6            4         1200               0
          103       75-D            7            3         1100               0
          103       75-D            8            2          900               0
          103       75-D            9            1          700               0
          103       75-D           10            0          300               0
          103       75-D            1           10         1700               0
          103       75-D            2            9         1700               0
          103       75-D            3            8         1500               0
          103       75-D            4            7         1500               0
          103       75-D            5            6         1300               0
          103       75-D            6            5         1300               0
          103       75-D            7            4         1200               0
          103       75-D            8            3         1100               0
          103       75-D            9            2          900               0
          103       75-D           10            1          700               0
          103       75-D           11            0          300               0
          103       75-D            1           11         1700               0
          103       75-D            2           10         1700               0
          103       75-D            3            9         1700               0
          103       75-D            4            8         1500               0
          103       75-D            5            7         1500               0
          103       75-D            6            6         1300               0
          103       75-D            7            5         1300               0
          103       75-D            8            4         1200               0
          103       75-D            9            3         1100               0
          103       75-D           10            2          900               0
          103       75-D           11            1          700               0
          103       75-D           12            0          300               0
          103       69-U            1            0          300               0
          103       69-U            1            1          700               0
          103       69-U            2            0          300               0
          103       69-U            1            2          900               0
          103       69-U            2            1          700               0
          103       69-U            3            0          300               0
          103       69-U            1            3         1100               0
          103       69-U            2            2          900               0
          103       69-U            3            1          700               0
          103       69-U            4            0          300               0
          103       69-U            1            4         1200               0
          103       69-U            2            3         1100               0
          103       69-U            3            2          900               0
          103       69-U            4            1          700               0
          103       69-U            5            0          300               0
          103       69-U            1            5         1300               0
          103       69-U            2            4         1200               0
          103       69-U            3            3         1100               0
          103       69-U            4            2          900               0
          103       69-U            5            1          700               0
          103       69-U            6            0          300               0
          103       69-U            1            6         1300               0
          103       69-U            2            5         1300               0
          103       69-U            3            4         1200               0
          103       69-U            4            3         1100               0
          103       69-U            5            2          900               0
          103       69-U            6            1          700               0
          103       69-U            7            0          300               0
          103       69-U            1            7         1500               0
          103       69-U            2            6         1300               0
          103       69-U            3            5         1300               0
          103       69-U            4            4         1200               0
          103       69-U            5            3         1100               0
          103       69-U            6            2          900               0
          103       69-U            7            1          700               0
          103       69-U            8            0          300               0
          103       69-U            1            8         1500               0
          103       69-U            2            7         1500               0
          103       69-U            3            6         1300               0
          103       69-U            4            5         1300               0
          103       69-U            5            4         1200               0
          103       69-U            6            3         1100               0
          103       69-U            7            2          900               0
          103       69-U            8            1          700               0
          103       69-U            9            0          300               0
          103       69-U            1            9         1700               0
          103       69-U            2            8         1500               0
          103       69-U            3            7         1500               0
          103       69-U            4            6         1300               0
          103       69-U            5            5         1300               0
          103       69-U            6            4         1200               0
          103       69-U            7            3         1100               0
          103       69-U            8            2          900               0
          103       69-U            9            1          700               0
          103       69-U           10            0          300               0
          103       69-U            1           10         1700               0
          103       69-U            2            9         1500               0
          103       69-U            3            8         1500               0
          103       69-U            4            7         1500               0
          103       69-U            5            6         1300               0
          103       69-U            6            5         1300               0
          103       69-U            7            4         1200               0
          103       69-U            8            3         1100               0
          103       69-U            9            2          900               0
          103       69-U           10            1          700               0
          103       69-U           11            0          300               0
          103       69-U            1           11         1800               0
          103       69-U            2           10         1700               0
          103       69-U            3            9         1700               0
          103       69-U            4            8         1500               0
          103       69-U            5            7         1500               0
          103       69-U            6            6         1300               0
          103       69-U            7            5         1300               0
          103       69-U            8            4         1200               0
          103       69-U            9            3         1100               0
          103       69-U           10            2          900               0
          103       69-U           11            1          700               0
          103       69-U           12            0          300               0
          103       69-U            1           12         1800               0
          103       69-U            2           11         1700               0
          103       69-U            3           10         1700               0
          103       69-U            4            9         1700               0
          103       69-U            5            8         1500               0
          103       69-U            6            7         1500               0
          103       69-U            7            6         1300               0
          103       69-U            8            5         1300               0
          103       69-U            9            4         1200               0
          103       69-U           10            3         1100               0
          103       69-U           11            2          900               0
          103       69-U           12            1          700               0
          103       69-U           13            0          300               0
          103       69-U            1           13         2000               0
          103       69-U            2           12         1800               0
          103       69-U            3           11         1800               0
          103       69-U            4           10         1700               0
          103       69-U            5            9         1700               0
          103       69-U            6            8         1500               0
          103       69-U            7            7         1500               0
          103       69-U            8            6         1300               0
          103       69-U            9            5         1300               0
          103       69-U           10            4         1200               0
          103       69-U           11            3         1100               0
          103       69-U           12            2          900               0
          103       69-U           13            1          700               0
          103       69-U           14            0          300               0
          103       69-U            1           14         2000               0
          103       69-U            2           13         1800               0
          103       69-U            3           12         1800               0
          103       69-U            4           11         1800               0
          103       69-U            5           10         1700               0
          103       69-U            6            9         1700               0
          103       69-U            7            8         1500               0
          103       69-U            8            7         1500               0
          103       69-U            9            6         1300               0
          103       69-U           10            5         1300               0
          103       69-U           11            4         1200               0
          103       69-U           12            3         1100               0
          103       69-U           13            2          900               0
          103       69-U           14            1          700               0
          103       69-U           15            0          300               0
          103       69-U            1           15         2000               0
          103       69-U            2           14         2000               0
          103       69-U            3           13         2000               0
          103       69-U            4           12         1800               0
          103       69-U            5           11         1800               0
          103       69-U            6           10         1700               0
          103       69-U            7            9         1700               0
          103       69-U            8            8         1500               0
          103       69-U            9            7         1500               0
          103       69-U           10            6         1300               0
          103       69-U           11            5         1300               0
          103       69-U           12            4         1200               0
          103       69-U           13            3         1100               0
          103       69-U           14            2          900               0
          103       69-U           15            1          700               0
          103       69-U           16            0          300               0
          103       69-D            1            0          300               0
          103       69-D            1            1          700               0
          103       69-D            2            0          300               0
          103       69-D            1            2          900               0
          103       69-D            2            1          700               0
          103       69-D            3            0          300               0
          103       69-D            1            3         1100               0
          103       69-D            2            2          900               0
          103       69-D            3            1          700               0
          103       69-D            4            0          300               0
          103       69-D            1            4         1200               0
          103       69-D            2            3         1100               0
          103       69-D            3            2          900               0
          103       69-D            4            1          700               0
          103       69-D            5            0          300               0
          103       69-D            1            5         1300               0
          103       69-D            2            4         1200               0
          103       69-D            3            3         1100               0
          103       69-D            4            2          900               0
          103       69-D            5            1          700               0
          103       69-D            6            0          300               0
          103       69-D            1            6         1300               0
          103       69-D            2            5         1300               0
          103       69-D            3            4         1200               0
          103       69-D            4            3         1100               0
          103       69-D            5            2          900               0
          103       69-D            6            1          700               0
          103       69-D            7            0          300               0
          103       69-D            1            7         1500               0
          103       69-D            2            6         1300               0
          103       69-D            3            5         1300               0
          103       69-D            4            4         1200               0
          103       69-D            5            3         1100               0
          103       69-D            6            2          900               0
          103       69-D            7            1          700               0
          103       69-D            8            0          300               0
          103       69-D            1            8         1500               0
          103       69-D            2            7         1500               0
          103       69-D            3            6         1300               0
          103       69-D            4            5         1300               0
          103       69-D            5            4         1200               0
          103       69-D            6            3         1100               0
          103       69-D            7            2          900               0
          103       69-D            8            1          700               0
          103       69-D            9            0          300               0
          103       69-D            1            9         1700               0
          103       69-D            2            8         1500               0
          103       69-D            3            7         1500               0
          103       69-D            4            6         1300               0
          103       69-D            5            5         1300               0
          103       69-D            6            4         1200               0
          103       69-D            7            3         1100               0
          103       69-D            8            2          900               0
          103       69-D            9            1          700               0
          103       69-D           10            0          300               0
          103       69-D            1           10         1700               0
          103       69-D            2            9         1700               0
          103       69-D            3            8         1500               0
          103       69-D            4            7         1500               0
          103       69-D            5            6         1300               0
          103       69-D            6            5         1300               0
          103       69-D            7            4         1200               0
          103       69-D            8            3         1100               0
          103       69-D            9            2          900               0
          103       69-D           10            1          700               0
          103       69-D           11            0          300               0
          103       69-D            1           11         1800               0
          103       69-D            2           10         1700               0
          103       69-D            3            9         1700               0
          103       69-D            4            8         1500               0
          103       69-D            5            7         1500               0
          103       69-D            6            6         1300               0
          103       69-D            7            5         1300               0
          103       69-D            8            4         1200               0
          103       69-D            9            3         1100               0
          103       69-D           10            2          900               0
          103       69-D           11            1          700               0
          103       69-D           12            0          300               0
          103       69-D            1           12         1800               0
          103       69-D            2           11         1800               0
          103       69-D            3           10         1700               0
          103       69-D            4            9         1700               0
          103       69-D            5            8         1500               0
          103       69-D            6            7         1500               0
          103       69-D            7            6         1300               0
          103       69-D            8            5         1300               0
          103       69-D            9            4         1200               0
          103       69-D           10            3         1100               0
          103       69-D           11            2          900               0
          103       69-D           12            1          700               0
          103       69-D           13            0          300               0
          103       69-D            1           13         2000               0
          103       69-D            2           12         1800               0
          103       69-D            3           11         1800               0
          103       69-D            4           10         1700               0
          103       69-D            5            9         1700               0
          103       69-D            6            8         1500               0
          103       69-D            7            7         1500               0
          103       69-D            8            6         1300               0
          103       69-D            9            5         1300               0
          103       69-D           10            4         1200               0
          103       69-D           11            3         1100               0
          103       69-D           12            2          900               0
          103       69-D           13            1          700               0
          103       69-D           14            0          300               0
          103       69-D            1           14         2000               0
          103       69-D            2           13         1800               0
          103       69-D            3           12         1800               0
          103       69-D            4           11         1700               0
          103       69-D            5           10         1700               0
          103       69-D            6            9         1500               0
          103       69-D            7            8         1500               0
          103       69-D            8            7         1500               0
          103       69-D            9            6         1300               0
          103       69-D           10            5         1300               0
          103       69-D           11            4         1200               0
          103       69-D           12            3         1100               0
          103       69-D           13            2          900               0
          103       69-D           14            1          700               0
          103       69-D           15            0          300               0
          103       69-D            1           15         2000               0
          103       69-D            2           14         2000               0
          103       69-D            3           13         2000               0
          103       69-D            4           12         1800               0
          103       69-D            5           11         1800               0
          103       69-D            6           10         1700               0
          103       69-D            7            9         1700               0
          103       69-D            8            8         1500               0
          103       69-D            9            7         1500               0
          103       69-D           10            6         1300               0
          103       69-D           11            5         1300               0
          103       69-D           12            4         1200               0
          103       69-D           13            3         1100               0
          103       69-D           14            2          900               0
          103       69-D           15            1          700               0
          103       69-D           16            0          300               0
          103       58-U            1            0          300               0
          103       58-U            1            1          700               0
          103       58-U            2            0          300               0
          103       58-U            1            2          900               0
          103       58-U            2            1          700               0
          103       58-U            3            0          300               0
          103       58-U            1            3         1100               0
          103       58-U            2            2          900               0
          103       58-U            3            1          700               0
          103       58-U            4            0          300               0
          103       58-U            1            4         1200               0
          103       58-U            2            3         1100               0
          103       58-U            3            2          900               0
          103       58-U            4            1          700               0
          103       58-U            5            0          300               0
          103       58-U            1            5         1300               0
          103       58-U            2            4         1200               0
          103       58-U            3            3         1100               0
          103       58-U            4            2          900               0
          103       58-U            5            1          700               0
          103       58-U            6            0          300               0
          103       58-U            1            6         1300               0
          103       58-U            2            5         1200               0
          103       58-U            3            4         1200               0
          103       58-U            4            3         1100               0
          103       58-U            5            2          900               0
          103       58-U            6            1          700               0
          103       58-U            7            0          300               0
          103       58-U            1            7         1300               0
          103       58-U            2            6         1300               0
          103       58-U            3            5         1200               0
          103       58-U            4            4         1200               0
          103       58-U            5            3         1100               0
          103       58-U            6            2          900               0
          103       58-U            7            1          700               0
          103       58-U            8            0          300               0
          103       58-U            1            8         1500               0
          103       58-U            2            7         1300               0
          103       58-U            3            6         1300               0
          103       58-U            4            5         1300               0
          103       58-U            5            4         1200               0
          103       58-U            6            3         1100               0
          103       58-U            7            2          900               0
          103       58-U            8            1          700               0
          103       58-U            9            0          300               0
          103       58-U            1            9         1700               0
          103       58-U            2            8         1500               0
          103       58-U            3            7         1500               0
          103       58-U            4            6         1300               0
          103       58-U            5            5         1300               0
          103       58-U            6            4         1200               0
          103       58-U            7            3         1100               0
          103       58-U            8            2          900               0
          103       58-U            9            1          700               0
          103       58-U           10            0          300               0
          103       58-U            1           10         1700               0
          103       58-U            2            9         1700               0
          103       58-U            3            8         1500               0
          103       58-U            4            7         1500               0
          103       58-U            5            6         1300               0
          103       58-U            6            5         1300               0
          103       58-U            7            4         1200               0
          103       58-U            8            3         1100               0
          103       58-U            9            2          900               0
          103       58-U           10            1          700               0
          103       58-U           11            0          300               0
          103       58-U            1           11         1700               0
          103       58-U            2           10         1700               0
          103       58-U            3            9         1500               0
          103       58-U            4            8         1500               0
          103       58-U            5            7         1500               0
          103       58-U            6            6         1300               0
          103       58-U            7            5         1300               0
          103       58-U            8            4         1200               0
          103       58-U            9            3         1100               0
          103       58-U           10            2          900               0
          103       58-U           11            1          700               0
          103       58-U           12            0          300               0
          103       58-U            1           12         1800               0
          103       58-U            2           11         1800               0
          103       58-U            3           10         1700               0
          103       58-U            4            9         1700               0
          103       58-U            5            8         1500               0
          103       58-U            6            7         1500               0
          103       58-U            7            6         1300               0
          103       58-U            8            5         1300               0
          103       58-U            9            4         1200               0
          103       58-U           10            3         1100               0
          103       58-U           11            2          900               0
          103       58-U           12            1          700               0
          103       58-U           13            0          300               0
          103       58-U            1           13         2000               0
          103       58-U            2           12         1800               0
          103       58-U            3           11         1800               0
          103       58-U            4           10         1700               0
          103       58-U            5            9         1700               0
          103       58-U            6            8         1500               0
          103       58-U            7            7         1500               0
          103       58-U            8            6         1300               0
          103       58-U            9            5         1300               0
          103       58-U           10            4         1200               0
          103       58-U           11            3         1100               0
          103       58-U           12            2          900               0
          103       58-U           13            1          700               0
          103       58-U           14            0          300               0
          103       58-U            1           14         2000               0
          103       58-U            2           13         2000               0
          103       58-U            3           12         1800               0
          103       58-U            4           11         1800               0
          103       58-U            5           10         1700               0
          103       58-U            6            9         1700               0
          103       58-U            7            8         1500               0
          103       58-U            8            7         1500               0
          103       58-U            9            6         1300               0
          103       58-U           10            5         1300               0
          103       58-U           11            4         1200               0
          103       58-U           12            3         1100               0
          103       58-U           13            2          900               0
          103       58-U           14            1          700               0
          103       58-U           15            0          300               0
          103       58-D            1            0          300               0
          103       58-D            1            1          700               0
          103       58-D            2            0          300               0
          103       58-D            1            2          900               0
          103       58-D            2            1          700               0
          103       58-D            3            0          300               0
          103       58-D            1            3         1100               0
          103       58-D            2            2          900               0
          103       58-D            3            1          700               0
          103       58-D            4            0          300               0
          103       58-D            1            4         1200               0
          103       58-D            2            3         1100               0
          103       58-D            3            2          900               0
          103       58-D            4            1          700               0
          103       58-D            5            0          300               0
          103       58-D            1            5         1300               0
          103       58-D            2            4         1200               0
          103       58-D            3            3         1100               0
          103       58-D            4            2          900               0
          103       58-D            5            1          700               0
          103       58-D            6            0          300               0
          103       58-D            1            6         1300               0
          103       58-D            2            5         1300               0
          103       58-D            3            4         1200               0
          103       58-D            4            3         1100               0
          103       58-D            5            2          900               0
          103       58-D            6            1          700               0
          103       58-D            7            0          300               0
          103       58-D            1            7         1500               0
          103       58-D            2            6         1300               0
          103       58-D            3            5         1300               0
          103       58-D            4            4         1200               0
          103       58-D            5            3         1100               0
          103       58-D            6            2          900               0
          103       58-D            7            1          700               0
          103       58-D            8            0          300               0
          103       58-D            1            8         1500               0
          103       58-D            2            7         1500               0
          103       58-D            3            6         1300               0
          103       58-D            4            5         1300               0
          103       58-D            5            4         1200               0
          103       58-D            6            3         1100               0
          103       58-D            7            2          900               0
          103       58-D            8            1          700               0
          103       58-D            9            0          300               0
          103       58-D            1            9         1700               0
          103       58-D            2            8         1500               0
          103       58-D            3            7         1500               0
          103       58-D            4            6         1300               0
          103       58-D            5            5         1300               0
          103       58-D            6            4         1200               0
          103       58-D            7            3         1100               0
          103       58-D            8            2          900               0
          103       58-D            9            1          700               0
          103       58-D           10            0          300               0
          103       58-D            1           10         1700               0
          103       58-D            2            9         1700               0
          103       58-D            3            8         1500               0
          103       58-D            4            7         1500               0
          103       58-D            5            6         1300               0
          103       58-D            6            5         1300               0
          103       58-D            7            4         1200               0
          103       58-D            8            3         1100               0
          103       58-D            9            2          900               0
          103       58-D           10            1          700               0
          103       58-D           11            0          300               0
          103       58-D            1           11         1800               0
          103       58-D            2           10         1700               0
          103       58-D            3            9         1700               0
          103       58-D            4            8         1500               0
          103       58-D            5            7         1500               0
          103       58-D            6            6         1300               0
          103       58-D            7            5         1300               0
          103       58-D            8            4         1200               0
          103       58-D            9            3         1100               0
          103       58-D           10            2          900               0
          103       58-D           11            1          700               0
          103       58-D           12            0          300               0
          103       58-D            1           12         1800               0
          103       58-D            2           11         1800               0
          103       58-D            3           10         1700               0
          103       58-D            4            9         1500               0
          103       58-D            5            8         1500               0
          103       58-D            6            7         1500               0
          103       58-D            7            6         1300               0
          103       58-D            8            5         1200               0
          103       58-D            9            4         1200               0
          103       58-D           10            3         1100               0
          103       58-D           11            2          900               0
          103       58-D           12            1          700               0
          103       58-D           13            0          300               0
          103       58-D            1           13         2000               0
          103       58-D            2           12         1800               0
          103       58-D            3           11         1800               0
          103       58-D            4           10         1700               0
          103       58-D            5            9         1700               0
          103       58-D            6            8         1500               0
          103       58-D            7            7         1300               0
          103       58-D            8            6         1300               0
          103       58-D            9            5         1200               0
          103       58-D           10            4         1200               0
          103       58-D           11            3         1100               0
          103       58-D           12            2          900               0
          103       58-D           13            1          700               0
          103       58-D           14            0          300               0
