station_code  stop_code                                     stop_name  short_stop_name stop_type  arrival_trigger_distance  departure_trigger_distance                    position stop_variant
         100        198                                Raipur Darwaja              NaN      BRTS                       NaN                         NaN POINT (72.595989 23.017383)       NORMAL
         101        199                       Karnamukteshwar Mahadev              NaN      BRTS                       NaN                         NaN  POINT (72.598923 23.01901)       NORMAL
         101        200                       Karnamukteshwar Mahadev              NaN      BRTS                       NaN                         NaN  POINT (72.598908 23.01909)       NORMAL
         102        201                             Sarangpur Darwaja              NaN      BRTS                       NaN                         NaN POINT (72.599037 23.021686)       NORMAL
         102        202                             Sarangpur Darwaja              NaN      BRTS                       NaN                         NaN POINT (72.598962 23.021751)       NORMAL
         103        203                                       Kalupur              NaN      BRTS                       NaN                         NaN POINT (72.600349 23.026879)       NORMAL
         103        204                                       Kalupur              NaN      BRTS                       NaN                         NaN  POINT (72.600044 23.02806)       NORMAL
         105        205                                 ISKCON Mandir              NaN      BRTS                       NaN                         NaN POINT (72.505104 23.027488)       NORMAL
         105        206                                 ISKCON Mandir              NaN      BRTS                       NaN                         NaN POINT (72.505002 23.027442)       NORMAL
         106        207                              Antariksh Colony              NaN      BRTS                       NaN                         NaN POINT (72.501004 23.027782)       NORMAL
         106        208                              Antariksh Colony              NaN      BRTS                       NaN                         NaN POINT (72.500888 23.027733)       NORMAL
         108        211                               Jayantilal Park              NaN      BRTS                       NaN                         NaN  POINT (72.49103 23.028441)       NORMAL
         108        212                               Jayantilal Park              NaN      BRTS                       NaN                         NaN POINT (72.490892 23.028408)       NORMAL
         109        213                               Swagat Bungalow              NaN      BRTS                       NaN                         NaN POINT (72.485865 23.027914)       NORMAL
         109        214                               Swagat Bungalow              NaN      BRTS                       NaN                         NaN  POINT (72.485813 23.02784)       NORMAL
         110        215                                     Ambli Gam              NaN      BRTS                       NaN                         NaN POINT (72.482186 23.026489)       NORMAL
         110        216                                     Ambli Gam              NaN      BRTS                       NaN                         NaN POINT (72.482132 23.026409)       NORMAL
         111        217                                Bopal Approach              NaN      BRTS                       NaN                         NaN POINT (72.477894 23.025875)       NORMAL
