workday,schedule_for_route_code,trip_id,route_code,route_name,route_destination,route_variant,first_stop_code,last_stop_code,start_time,stop_time,run_code,duty_code,is_halfway,vehicle_code,driver_code,trip_status,trip_last_update_time
25/03/2023,5524923,2503235524923,DR975,Vadaj - Nava Vadaj Depot - TCM,Nava Vadaj Depot - TCM,NORMAL,2107,9958,21:40:00,21:48:00,401/J,401/J-G,0,,,,
25/03/2023,5524924,2503235524924,DR972,Shrinath Depot - ADM - Vadaj,Vadaj,NORMAL,9970,2107,05:30:00,05:35:00,401/A,401/A-G,0,,,,
25/03/2023,5524925,2503235524925,DR973,Vadaj - Shrinath Depot - ADM,Shrinath Depot - ADM,NORMAL,2107,9970,18:40:00,18:50:00,401/A,401/A-G,0,,,,
25/03/2023,5524926,2503235524926,DR974,Nava Vadaj Depot - TCM - Vadaj,Vadaj,NORMAL,9958,2107,05:52:00,05:55:00,401/B,401/B-G,0,,,,
25/03/2023,5524927,2503235524927,DR975,Vadaj - Nava Vadaj Depot - TCM,Nava Vadaj Depot - TCM,NORMAL,2107,9958,19:00:00,19:08:00,401/B,401/B-G,0,,,,
25/03/2023,5524928,2503235524928,DR972,Shrinath Depot - ADM - Vadaj,Vadaj,NORMAL,9970,2107,07:40:00,07:45:00,401/K,401/K-G,0,,,,
25/03/2023,5524929,2503235524929,DR973,Vadaj - Shrinath Depot - ADM,Shrinath Depot - ADM,NORMAL,2107,9970,21:05:00,21:15:00,401/K,401/K-G,0,,,,
25/03/2023,5524930,2503235524930,DR972,Shrinath Depot - ADM - Vadaj,Vadaj,NORMAL,9970,2107,06:10:00,06:15:00,401/C,401/C-G,0,,,,
25/03/2023,5524931,2503235524931,DR973,Vadaj - Shrinath Depot - ADM,Shrinath Depot - ADM,NORMAL,2107,9970,19:20:00,19:30:00,401/C,401/C-G,0,,,,
25/03/2023,5524932,2503235524932,DR974,Nava Vadaj Depot - TCM - Vadaj,Vadaj,NORMAL,9958,2107,06:32:00,06:35:00,401/D,401/D-G,0,,,,
25/03/2023,5524933,2503235524933,DR975,Vadaj - Nava Vadaj Depot - TCM,Nava Vadaj Depot - TCM,NORMAL,2107,9958,19:40:00,19:48:00,401/D,401/D-G,0,,,,
25/03/2023,5524934,2503235524934,DR978,Nava Vadaj Depot - TCM - Vadaj,Vadaj,NORMAL,9958,2033,05:50:00,05:55:00,401/N,401/N-G,0,,,,
25/03/2023,5524935,2503235524935,DR947,Vadaj - Nava Vadaj Depot - TCM,Nava Vadaj Depot - TCM,NORMAL,2033,9958,18:45:00,18:49:00,401/N,401/N-G,0,,,,
25/03/2023,5524936,2503235524936,DR976,Shrinath Depot - ADM - Vadaj,Vadaj,NORMAL,9970,2033,06:09:00,06:15:00,401/O,401/O-G,0,,,,
25/03/2023,5524937,2503235524937,DR977,Vadaj - Shrinath Depot - ADM,Shrinath Depot - ADM,NORMAL,2033,9970,19:10:00,19:15:00,401/O,401/O-G,0,,,,
25/03/2023,5524938,2503235524938,DR978,Nava Vadaj Depot - TCM - Vadaj,Vadaj,NORMAL,9958,2033,06:30:00,06:35:00,401/P,401/P-G,0,,,,
25/03/2023,5524939,2503235524939,DR947,Vadaj - Nava Vadaj Depot - TCM,Nava Vadaj Depot - TCM,NORMAL,2033,9958,20:00:00,20:04:00,401/P,401/P-G,0,,,,
25/03/2023,5524940,2503235524940,DR974,Nava Vadaj Depot - TCM - Vadaj,Vadaj,NORMAL,9958,2107,07:12:00,07:15:00,401/F,401/F-G,0,,,,
25/03/2023,5524941,2503235524941,DR975,Vadaj - Nava Vadaj Depot - TCM,Nava Vadaj Depot - TCM,NORMAL,2107,9958,20:30:00,20:38:00,401/F,401/F-G,0,,,,
25/03/2023,5524942,2503235524942,DR972,Shrinath Depot - ADM - Vadaj,Vadaj,NORMAL,9970,2107,07:30:00,07:35:00,401/G,401/G-G,0,,,,
25/03/2023,5524943,2503235524943,DR973,Vadaj - Shrinath Depot - ADM,Shrinath Depot - ADM,NORMAL,2107,9970,20:40:00,20:50:00,401/G,401/G-G,0,,,,
25/03/2023,5524944,2503235524944,DR974,Nava Vadaj Depot - TCM - Vadaj,Vadaj,NORMAL,9958,2107,07:52:00,07:55:00,401/H,401/H-G,0,,,,
