schedule_code,schedule_name,priority_weight,start_date,end_date,depot,bus_type,route_type
711M/F,Moti Bhoyan Chokdi - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Shrinath Depot - ADM,A,AMTS
711M/G,Moti Bhoyan Chokdi - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Shrinath Depot - ADM,A,AMTS
711M/H,Moti Bhoyan Chokdi - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Ranip Depot-SMD,A,AMTS
711M/I,Moti Bhoyan Chokdi - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Ranip Depot-SMD,A,AMTS
711M/J,Moti Bhoyan Chokdi - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Acher Depot-MAM,A,AMTS
711M/K,Moti Bhoyan Chokdi - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Acher Depot-MAM,A,AMTS
65/3/A,Santej Gam - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Shrinath Depot,A,AMTS
65/3/B,Santej Gam - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Shrinath Depot,A,AMTS
65/3/C,Santej Gam - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Shrinath Depot,A,AMTS
65/3/D,Santej Gam - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Shrinath Depot,A,AMTS
49/C,Godhavi Gam - Adinathnagar,,21/01/2023 00:00:00,20/01/2028 23:59:59,Shrinath Depot,A,AMTS
49/D,Godhavi Gam - Adinathnagar,,21/01/2023 00:00:00,20/01/2028 23:59:59,Shrinath Depot,A,AMTS
49/E,Godhavi Gam - Adinathnagar,,21/01/2023 00:00:00,20/01/2028 23:59:59,Shrinath Depot,A,AMTS
49/F,Godhavi Gam - Adinathnagar,,21/01/2023 00:00:00,20/01/2028 23:59:59,Shrinath Depot,A,AMTS
49/G,Godhavi Gam - Adinathnagar,,21/01/2023 00:00:00,20/01/2028 23:59:59,Shrinath Depot,A,AMTS
50/A,Meghaninagar - Ghuma Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Shrinath Depot,A,AMTS
50/B,Meghaninagar - Ghuma Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Juna Vadaj Depot,A,AMTS
50/C,Meghaninagar - Ghuma Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Shrinath Depot,A,AMTS
50/D,Meghaninagar - Ghuma Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Ranip Depot-SMD,A,AMTS
50/E,Meghaninagar - Ghuma Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Shrinath Depot,A,AMTS
50/F,Meghaninagar - Ghuma Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Juna Vadaj Depot,A,AMTS
75/A,Chandkheda (Sarthi Bunglows) - Maninagar,,21/01/2023 00:00:00,20/01/2028 23:59:59,Acher Depot,A,AMTS
75/B,Chandkheda (Sarthi Bunglows) - Maninagar,,21/01/2023 00:00:00,20/01/2028 23:59:59,Acher Depot,A,AMTS
75/C,Chandkheda (Sarthi Bunglows) - Maninagar,,21/01/2023 00:00:00,20/01/2028 23:59:59,Acher Depot,A,AMTS
31/A,Meghaninagar - Sarkhej Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Paldi Depot,A,AMTS
51R/C,Thol Gam (Saradar Chowk) - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Acher Depot-MAM,A,AMTS
77/A,Dr.Shyamaprasad Mukharjee Chowk - Nava Vadaj,,21/01/2023 00:00:00,20/01/2028 23:59:59,Ranip Depot-SMD,A,AMTS
77/B,Dr.Shyamaprasad Mukharjee Chowk - Nava Vadaj,,21/01/2023 00:00:00,20/01/2028 23:59:59,Ranip Depot-SMD,A,AMTS
136/I,Sattadhar Society - G.E.B (Naroda),,21/01/2023 00:00:00,20/01/2028 23:59:59,Paldi Depot,A,AMTS
31/B,Meghaninagar - Sarkhej Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Paldi Depot,A,AMTS
31/C,Meghaninagar - Sarkhej Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Paldi Depot,A,AMTS
31/D,Meghaninagar - Sarkhej Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Paldi Depot,A,AMTS
31/E,Meghaninagar - Sarkhej Gam,,21/01/2023 00:00:00,20/01/2028 23:59:59,Paldi Depot,A,AMTS
77/C,Dr.Shyamaprasad Mukharjee Chowk - Nava Vadaj,,21/01/2023 00:00:00,20/01/2028 23:59:59,Nava Vadaj Depot - TCM,A,AMTS
51R/D,Thol Gam (Saradar Chowk) - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Acher Depot-MAM,A,AMTS
51R/E,Thol Gam (Saradar Chowk) - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Acher Depot-MAM,A,AMTS
51R/F,Thol Gam (Saradar Chowk) - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Paldi Depot,A,AMTS
51R/G,Thol Gam (Saradar Chowk) - Lal Darwaja,,21/01/2023 00:00:00,20/01/2028 23:59:59,Shrinath Depot,A,AMTS
72/A,Godrejcity Phase-1 - Sahyadri Bunglows,,21/01/2023 00:00:00,20/01/2028 23:59:59,Acher Depot,A,AMTS
72/B,Godrejcity Phase-1 - Sahyadri Bunglows,,21/01/2023 00:00:00,20/01/2028 23:59:59,Acher Depot,A,AMTS
72/C,Godrejcity Phase-1 - Sahyadri Bunglows,,21/01/2023 00:00:00,20/01/2028 23:59:59,Acher Depot,A,AMTS
72/D,Godrejcity Phase-1 - Sahyadri Bunglows,,21/01/2023 00:00:00,20/01/2028 23:59:59,Acher Depot,A,AMTS
35/A,Rajoda Patiya - Sardarbag (Lal Darwaja),,21/01/2023 00:00:00,20/01/2028 23:59:59,Marwadi Depot,A,AMTS
35/B,Rajoda Patiya - Sardarbag (Lal Darwaja),,21/01/2023 00:00:00,20/01/2028 23:59:59,Marwadi Depot,A,AMTS
35/C,Rajoda Patiya - Sardarbag (Lal Darwaja),,21/01/2023 00:00:00,20/01/2028 23:59:59,Paldi Depot,A,AMTS
77/D,Dr.Shyamaprasad Mukharjee Chowk - Nava Vadaj,,21/01/2023 00:00:00,20/01/2028 23:59:59,Ranip Depot-SMD,A,AMTS
77/E,Dr.Shyamaprasad Mukharjee Chowk - Nava Vadaj,,21/01/2023 00:00:00,20/01/2028 23:59:59,Nava Vadaj Depot - TCM,A,AMTS
77/F,Dr.Shyamaprasad Mukharjee Chowk - Nava Vadaj,,21/01/2023 00:00:00,20/01/2028 23:59:59,Ranip Depot-SMD,A,AMTS
77/G,Dr.Shyamaprasad Mukharjee Chowk - Nava Vadaj,,21/01/2023 00:00:00,20/01/2028 23:59:59,Nava Vadaj Depot - TCM,A,AMTS
77/H,Dr.Shyamaprasad Mukharjee Chowk - Nava Vadaj,,21/01/2023 00:00:00,20/01/2028 23:59:59,Ranip Depot-SMD,A,AMTS
72/E,Godrejcity Phase-1 - Sahyadri Bunglows,,21/01/2023 00:00:00,20/01/2028 23:59:59,Acher Depot,A,AMTS
72/F,Godrejcity Phase-1 - Sahyadri Bunglows,,21/01/2023 00:00:00,20/01/2028 23:59:59,Acher Depot,A,AMTS
72/G,Godrejcity Phase-1 - Sahyadri Bunglows,,21/01/2023 00:00:00,20/01/2028 23:59:59,Acher Depot,A,AMTS
72/H,Godrejcity Phase-1 - Sahyadri Bunglows,,21/01/2023 00:00:00,20/01/2028 23:59:59,Acher Depot,A,AMTS
72/I,Godrejcity Phase-1 - Sahyadri Bunglows,,21/01/2023 00:00:00,20/01/2028 23:59:59,Acher Depot,A,AMTS
72/J,Godrejcity Phase-1 - Sahyadri Bunglows,,21/01/2023 00:00:00,20/01/2028 23:59:59,Acher Depot,A,AMTS
72/K,Godrejcity Phase-1 - Sahyadri Bunglows,,21/01/2023 00:00:00,20/01/2028 23:59:59,Acher Depot,A,AMTS
72/L,Godrejcity Phase-1 - Sahyadri Bunglows,,21/01/2023 00:00:00,20/01/2028 23:59:59,Acher Depot,A,AMTS
72/M,Godrejcity Phase-1 - Sahyadri Bunglows,,21/01/2023 00:00:00,20/01/2028 23:59:59,Acher Depot,A,AMTS
72/N,Godrejcity Phase-1 - Sahyadri Bunglows,,21/01/2023 00:00:00,20/01/2028 23:59:59,Acher Depot,A,AMTS
35/D,Rajoda Patiya - Sardarbag (Lal Darwaja),,21/01/2023 00:00:00,20/01/2028 23:59:59,Shrinath Depot,A,AMTS
35/E,Rajoda Patiya - Sardarbag (Lal Darwaja),,21/01/2023 00:00:00,20/01/2028 23:59:59,Marwadi Depot,A,AMTS
