schedule_code,schedule_for_route_code,route_code,route_name,route_destination,route_variant,first_stop_code,last_stop_code,start_time,stop_time,run_code,duty_code,is_halfway,shift_type
144/C,5389063,144-U,Arbudanagar - Gujarat University,Gujarat University,NORMAL,1182,1222,11:25:00,12:35:00,144/C,144/C-G,0,General Shift
144/C,5389064,144-D,Gujarat University - Arbudanagar,Arbudanagar,NORMAL,1051,1181,12:35:00,13:40:00,144/C,144/C-G,0,General Shift
144/C,5389065,144-U,Arbudanagar - Gujarat University,Gujarat University,NORMAL,1182,1222,14:45:00,15:55:00,144/C,144/C-G,0,General Shift
144/C,5389066,144-D,Gujarat University - Arbudanagar,Arbudanagar,NORMAL,1051,1181,15:55:00,17:05:00,144/C,144/C-G,0,General Shift
144/C,5389067,144-U,Arbudanagar - Gujarat University,Gujarat University,NORMAL,1182,1222,17:05:00,18:20:00,144/C,144/C-G,0,General Shift
144/F,5389068,144-SA-D,Sarangpur - Arbudanagar,Arbudanagar,NORMAL,1489,1181,7:25:00,7:50:00,144/F,144/F-G,0,General Shift
144/F,5389069,144-U,Arbudanagar - Gujarat University,Gujarat University,NORMAL,1182,1222,7:50:00,8:50:00,144/F,144/F-G,0,General Shift
144/F,5389070,144-D,Gujarat University - Arbudanagar,Arbudanagar,NORMAL,1051,1181,8:50:00,9:55:00,144/F,144/F-G,0,General Shift
144/F,5389071,144-U,Arbudanagar - Gujarat University,Gujarat University,NORMAL,1182,1222,9:55:00,11:00:00,144/F,144/F-G,0,General Shift
144/F,5389072,144-D,Gujarat University - Arbudanagar,Arbudanagar,NORMAL,1051,1181,11:00:00,12:10:00,144/F,144/F-G,0,General Shift
144/F,5389073,144-U,Arbudanagar - Gujarat University,Gujarat University,NORMAL,1182,1222,12:10:00,13:20:00,144/F,144/F-G,0,General Shift
144/F,5389074,144-D,Gujarat University - Arbudanagar,Arbudanagar,NORMAL,1051,1181,13:20:00,14:30:00,144/F,144/F-G,0,General Shift
